GOALS SCORED IN FIFA WORLD CUPS: 1930-2006,,,
Source:  http://www.fifa.com/worldcup/archive/,,,
,,,
Year,Host country,Total goals,Total matches
1930,Uruguay,70,18
1934,Italy,70,17
1938,France,84,18
1950,Brazil,88,22
1954,Switzerland,140,26
1958,Sweden,126,35
1962,Chile,89,32
1966,England,89,32
1970,Mexico,95,32
1974,Germany,97,38
1978,Argentina,102,38
1982,Spain,146,52
1986,Mexico,132,52
1990,Italy,115,52
1994,USA,141,52
1998,France,171,64
2002,Korea/Japan,161,64
2006,Germany,147,64
2010,South Africa,145,64
2014,Brazil,171,64
